x,res/com,original,y
434.00000,7478.00000,22663.00000,0.32997
1463.00000,7901.00000,22940.00000,0.34442
1516.00000,8227.00000,22960.00000,0.35832
1571.00000,8799.00000,23167.00000,0.37981
1631.00000,9153.00000,23080.00000,0.39658
1695.00000,8953.00000,22795.00000,0.39276
1771.00000,7240.00000,23010.00000,0.31465
1866.00000,6358.00000,23029.00000,0.27609
1972.00000,6113.00000,22975.00000,0.26607
2085.00000,6128.00000,23141.00000,0.26481
2207.00000,6258.00000,22962.00000,0.27254
2343.00000,6891.00000,22938.00000,0.30042
2498.00000,7509.00000,22998.00000,0.32651
2684.00000,7917.00000,23007.00000,0.34411
2907.00000,8410.00000,22991.00000,0.36580
3188.00000,8694.00000,23009.00000,0.37785
3541.00000,9289.00000,23027.00000,0.40340
4034.00000,10330.00000,23007.00000,0.44899
4786.00000,10992.00000,22993.00000,0.47806
5993.00000,14390.00000,23011.00000,0.62535
