x,res/com,original,y
434.00000,13019.00000,22663.00000,0.57446
1463.00000,12913.00000,22940.00000,0.56290
1516.00000,12815.00000,22960.00000,0.55814
1571.00000,12634.00000,23167.00000,0.54534
1631.00000,12411.00000,23080.00000,0.53774
1695.00000,12492.00000,22795.00000,0.54801
1771.00000,14420.00000,23010.00000,0.62668
1866.00000,15432.00000,23029.00000,0.67011
1972.00000,15807.00000,22975.00000,0.68801
2085.00000,16067.00000,23141.00000,0.69431
2207.00000,15881.00000,22962.00000,0.69162
2343.00000,15193.00000,22938.00000,0.66235
2498.00000,14704.00000,22998.00000,0.63936
2684.00000,14332.00000,23007.00000,0.62294
2907.00000,13883.00000,22991.00000,0.60384
3188.00000,13769.00000,23009.00000,0.59842
3541.00000,13252.00000,23027.00000,0.57550
4034.00000,12168.00000,23007.00000,0.52888
4786.00000,11551.00000,22993.00000,0.50237
5993.00000,8258.00000,23011.00000,0.35887
