x,res/com,original,y
0.00000,18.00000,482.00000,0.03734
109.00000,44.00000,942.00000,0.04671
112.00000,48.00000,771.00000,0.06226
115.00000,59.00000,979.00000,0.06027
119.00000,45.00000,721.00000,0.06241
122.00000,77.00000,966.00000,0.07971
126.00000,78.00000,850.00000,0.09176
130.00000,53.00000,756.00000,0.07011
134.00000,73.00000,982.00000,0.07434
139.00000,44.00000,842.00000,0.05226
143.00000,48.00000,877.00000,0.05473
147.00000,41.00000,758.00000,0.05409
151.00000,43.00000,959.00000,0.04484
156.00000,35.00000,720.00000,0.04861
160.00000,35.00000,848.00000,0.04127
166.00000,34.00000,849.00000,0.04005
173.00000,23.00000,872.00000,0.02638
180.00000,23.00000,843.00000,0.02728
201.00000,36.00000,873.00000,0.04124
243.00000,24.00000,851.00000,0.02820
