x,res/com,original,y
0.00000,4.00000,1202.00000,0.00333
112.00000,7.00000,1325.00000,0.00528
116.00000,10.00000,1305.00000,0.00766
120.00000,13.00000,1350.00000,0.00963
124.00000,19.00000,1285.00000,0.01479
128.00000,6.00000,1622.00000,0.00370
133.00000,7.00000,1270.00000,0.00551
137.00000,8.00000,1238.00000,0.00646
141.00000,9.00000,1587.00000,0.00567
146.00000,4.00000,1216.00000,0.00329
150.00000,2.00000,1325.00000,0.00151
154.00000,8.00000,1547.00000,0.00517
159.00000,7.00000,1272.00000,0.00550
164.00000,9.00000,1442.00000,0.00624
171.00000,2.00000,1384.00000,0.00145
177.00000,4.00000,1273.00000,0.00314
186.00000,4.00000,1385.00000,0.00289
212.00000,3.00000,1373.00000,0.00218
239.00000,5.00000,1385.00000,0.00361
281.00000,2.00000,1374.00000,0.00146
