x,res/com,original,y
0.00000,27.00000,1202.00000,0.02246
112.00000,40.00000,1325.00000,0.03019
116.00000,30.00000,1305.00000,0.02299
120.00000,34.00000,1350.00000,0.02519
124.00000,30.00000,1285.00000,0.02335
128.00000,39.00000,1622.00000,0.02404
133.00000,25.00000,1270.00000,0.01969
137.00000,33.00000,1238.00000,0.02666
141.00000,50.00000,1587.00000,0.03151
146.00000,20.00000,1216.00000,0.01645
150.00000,26.00000,1325.00000,0.01962
154.00000,29.00000,1547.00000,0.01875
159.00000,32.00000,1272.00000,0.02516
164.00000,31.00000,1442.00000,0.02150
171.00000,27.00000,1384.00000,0.01951
177.00000,31.00000,1273.00000,0.02435
186.00000,15.00000,1385.00000,0.01083
212.00000,4.00000,1373.00000,0.00291
239.00000,8.00000,1385.00000,0.00578
281.00000,0.00000,1374.00000,0.00000
