x,res/com,original,y
3742.00000,4038.00000,182994.00000,0.02207
4133.00000,4496.00000,182680.00000,0.02461
4226.00000,5115.00000,183682.00000,0.02785
4334.00000,5982.00000,182503.00000,0.03278
4456.00000,7407.00000,184001.00000,0.04026
4592.00000,8351.00000,182729.00000,0.04570
4744.00000,8761.00000,184092.00000,0.04759
4913.00000,10115.00000,182776.00000,0.05534
5112.00000,11260.00000,184097.00000,0.06116
5342.00000,12948.00000,182774.00000,0.07084
5599.00000,15154.00000,183533.00000,0.08257
5893.00000,18318.00000,183512.00000,0.09982
6229.00000,20696.00000,183510.00000,0.11278
6615.00000,23040.00000,183638.00000,0.12546
7081.00000,27389.00000,183313.00000,0.14941
7612.00000,34316.00000,183362.00000,0.18715
8205.00000,47029.00000,183485.00000,0.25631
8923.00000,56353.00000,183451.00000,0.30718
9810.00000,62142.00000,183501.00000,0.33865
11048.00000,65343.00000,183409.00000,0.35627
