x,res/com,original,y
3742.00000,65336.00000,182994.00000,0.35704
4133.00000,71590.00000,182680.00000,0.39189
4226.00000,77528.00000,183682.00000,0.42208
4334.00000,83316.00000,182503.00000,0.45652
4456.00000,90224.00000,184001.00000,0.49035
4592.00000,94434.00000,182729.00000,0.51680
4744.00000,102231.00000,184092.00000,0.55533
4913.00000,102794.00000,182776.00000,0.56240
5112.00000,104974.00000,184097.00000,0.57021
5342.00000,105723.00000,182774.00000,0.57844
5599.00000,107404.00000,183533.00000,0.58520
5893.00000,108797.00000,183512.00000,0.59286
6229.00000,110904.00000,183510.00000,0.60435
6615.00000,111766.00000,183638.00000,0.60862
7081.00000,111790.00000,183313.00000,0.60983
7612.00000,111377.00000,183362.00000,0.60742
8205.00000,105893.00000,183485.00000,0.57712
8923.00000,103972.00000,183451.00000,0.56676
9810.00000,104576.00000,183501.00000,0.56989
11048.00000,108352.00000,183409.00000,0.59077
