x,res/com,original,y
0.00000,66.00000,773.00000,0.08538
113.00000,94.00000,985.00000,0.09543
116.00000,57.00000,907.00000,0.06284
119.00000,67.00000,1049.00000,0.06387
123.00000,56.00000,785.00000,0.07134
126.00000,73.00000,1052.00000,0.06939
130.00000,75.00000,1041.00000,0.07205
134.00000,63.00000,999.00000,0.06306
138.00000,55.00000,920.00000,0.05978
142.00000,72.00000,959.00000,0.07508
146.00000,74.00000,1062.00000,0.06968
151.00000,45.00000,941.00000,0.04782
155.00000,40.00000,1008.00000,0.03968
159.00000,34.00000,955.00000,0.03560
164.00000,46.00000,961.00000,0.04787
170.00000,30.00000,985.00000,0.03046
177.00000,29.00000,904.00000,0.03208
184.00000,65.00000,1013.00000,0.06417
216.00000,47.00000,965.00000,0.04870
256.00000,29.00000,981.00000,0.02956
