x,res/com,original,y
0.00000,181.00000,773.00000,0.23415
113.00000,210.00000,985.00000,0.21320
116.00000,190.00000,907.00000,0.20948
119.00000,225.00000,1049.00000,0.21449
123.00000,166.00000,785.00000,0.21146
126.00000,205.00000,1052.00000,0.19487
130.00000,234.00000,1041.00000,0.22478
134.00000,257.00000,999.00000,0.25726
138.00000,171.00000,920.00000,0.18587
142.00000,193.00000,959.00000,0.20125
146.00000,277.00000,1062.00000,0.26083
151.00000,197.00000,941.00000,0.20935
155.00000,208.00000,1008.00000,0.20635
159.00000,180.00000,955.00000,0.18848
164.00000,162.00000,961.00000,0.16857
170.00000,178.00000,985.00000,0.18071
177.00000,110.00000,904.00000,0.12168
184.00000,133.00000,1013.00000,0.13129
216.00000,128.00000,965.00000,0.13264
256.00000,144.00000,981.00000,0.14679
