x,res/com,original,y
0.00000,4.00000,1419.00000,0.00282
114.00000,2.00000,1671.00000,0.00120
118.00000,5.00000,1545.00000,0.00324
122.00000,8.00000,1566.00000,0.00511
126.00000,7.00000,1593.00000,0.00439
130.00000,8.00000,1580.00000,0.00506
134.00000,3.00000,1831.00000,0.00164
139.00000,5.00000,1517.00000,0.00330
143.00000,6.00000,1589.00000,0.00378
147.00000,8.00000,1494.00000,0.00535
151.00000,4.00000,1629.00000,0.00246
155.00000,4.00000,1822.00000,0.00220
160.00000,12.00000,1465.00000,0.00819
165.00000,7.00000,1794.00000,0.00390
172.00000,3.00000,1580.00000,0.00190
178.00000,6.00000,1529.00000,0.00392
187.00000,7.00000,1576.00000,0.00444
210.00000,8.00000,1639.00000,0.00488
236.00000,13.00000,1633.00000,0.00796
272.00000,6.00000,1609.00000,0.00373
