x,res/com,original,y
0.00000,0.00000,0.00000,0.00000
0.00000,47.00000,1580.00000,0.02975
107.00000,44.00000,2435.00000,0.01807
110.00000,30.00000,1541.00000,0.01947
113.00000,39.00000,1773.00000,0.02200
117.00000,40.00000,2334.00000,0.01714
123.00000,25.00000,1962.00000,0.01274
128.00000,37.00000,1568.00000,0.02360
132.00000,37.00000,1965.00000,0.01883
137.00000,32.00000,2187.00000,0.01463
143.00000,53.00000,1969.00000,0.02692
148.00000,21.00000,1955.00000,0.01074
153.00000,26.00000,1913.00000,0.01359
158.00000,39.00000,1888.00000,0.02066
164.00000,34.00000,1846.00000,0.01842
171.00000,33.00000,1996.00000,0.01653
179.00000,15.00000,1911.00000,0.00785
194.00000,6.00000,1970.00000,0.00305
225.00000,14.00000,1970.00000,0.00711
262.00000,3.00000,1941.00000,0.00155
